city,category,created_at,price,price_per_sqm,total_size,furnished,registration_possible,washing_machine,tv,balcony,garden,terrace
Medgidia,Shared Room,2013-09-22 16:39:21,201.12,,,,,,True,yes,yes,
Afumati,Luxury Apartment,2013-04-13 08:49:10,1357.47,28.88,47,,,False,False,,no,no
Toplita,Luxury Apartment,2014-10-05 12:35:02,2424.44,22.66,107,False,,,,yes,no,
Prejmer,Luxury Apartment,2014-10-04 23:56:36,2586.77,86.23,30,True,,,True,,yes,yes
Afumati,Luxury Apartment,2013-06-03 09:34:30,3796.63,21.33,178,True,False,False,False,,no,yes
Targu Frumos,Private Room,2017-02-28 12:53:24,326.52,,,,,,False,,yes,yes
Strehaia,Apartment,2013-01-11 00:02:56,823.65,8.86,93,True,,False,,,no,
Harlau,Studio,2016-02-12 13:22:36,490.54,10.9,45,,True,,False,,yes,
Barlad,Apartment,2016-04-26 05:27:02,951.35,11.6,82,True,,True,False,,yes,
Fetesti-Gara,Private Room,2017-04-16 21:25:00,350.22,,,False,,False,True,,yes,
Fetesti-Gara,Private Room,2015-10-14 19:06:59,313.65,,,,False,False,True,,no,yes
Afumati,Apartment,2016-05-25 17:33:20,897.55,44.88,20,False,,True,True,,yes,
Prejmer,Shared Room,2015-04-01 20:54:10,286.85,,,False,,False,False,,no,
Mogosoaia,Apartment,2014-09-05 10:27:49,640.59,,,,,True,True,,,
Dabuleni,Studio,2013-06-27 04:16:00,425.92,16.38,26,,,True,,,no,
Boldesti-Scaeni,Apartment,2014-09-28 17:40:18,711.9,,,False,True,False,True,,no,
Medgidia,Other,2014-08-19 18:07:59,143.71,5.13,28,False,True,False,True,,,
Toplita,Shared Room,2016-10-15 05:11:52,262.83,,,False,,,True,no,,no
Comanesti,Luxury Apartment,2017-04-17 13:55:12,1679.1,40.95,41,,,,,,no,
Calan,Apartment,2016-05-09 13:33:39,976.89,10.98,89,,False,,True,,no,yes
Medgidia,Luxury Apartment,2014-06-22 19:17:29,2288.89,19.07,120,False,,True,,,yes,
Titu,Other,2015-08-12 09:15:05,162.96,12.54,13,,,False,,,yes,
Fetesti-Gara,Apartment,2014-02-24 21:41:14,534.94,4.78,112,,,,True,,no,no
Rosiori de Vede,Studio,2017-05-15 02:40:05,461.94,,,,False,True,True,,no,
Oradea,Luxury Apartment,2017-01-21 00:21:30,2241.51,22.42,100,False,,True,,,yes,
Sovata,Apartment,2015-10-23 19:27:58,671.95,7.91,85,False,False,True,,,no,no
Lupeni,Apartment,2015-01-17 09:17:57,827.1,,,True,False,False,,,,yes
Mogosoaia,Luxury Apartment,2016-08-17 15:01:54,4253.32,,,True,,False,False,,yes,
Rosiori de Vede,Apartment,2015-10-03 08:03:28,593.14,,,,False,False,,,,
Modelu,Apartment,2015-01-06 20:05:46,707.58,,,True,False,True,True,,,
Calafat,Apartment,2013-04-28 07:50:50,802.89,,,True,,False,,no,no,
Strehaia,Apartment,2015-04-18 21:34:27,501.91,3.77,133,,True,True,False,,no,yes
Rosiori de Vede,Apartment,2014-04-21 07:38:38,971.8,,,True,,False,,,,
Brad,Apartment,2014-12-04 07:52:46,731.51,,,False,True,,True,,no,
Brad,Luxury Apartment,2014-06-05 11:53:10,1874.89,,,True,False,,,no,yes,no
Harlau,Studio,2013-09-05 03:46:27,458.24,,,,,False,False,,,
Strehaia,Apartment,2016-06-21 18:12:33,537.72,6.4,84,True,False,,,,no,yes
Calafat,Apartment,2017-06-02 19:47:41,689.1,6.89,100,,,False,,,yes,
Boldesti-Scaeni,Luxury Apartment,2014-05-30 15:44:15,3370.72,30.1,112,,,True,,,no,
Comanesti,Luxury Apartment,2015-05-08 12:34:19,3437.84,118.55,29,False,False,True,False,,no,
Fetesti-Gara,Apartment,2017-03-15 21:01:08,648.21,7.2,90,,True,False,True,,,no
Prejmer,Apartment,2016-06-28 05:54:08,950.59,,,True,,False,,yes,yes,
Medgidia,Shared Room,2015-04-09 04:37:39,202.89,,,,,False,,yes,,
Medgidia,Apartment,2014-09-06 11:56:10,891.55,4.77,187,True,True,,,yes,yes,
Modelu,Other,2015-09-12 02:33:49,178.1,7.12,25,False,True,,False,,no,yes
Afumati,Apartment,2015-07-09 12:48:56,762.64,,,,False,,,no,,
Boldesti-Scaeni,Apartment,2015-01-09 13:23:55,936.8,9.01,104,True,,True,False,yes,yes,
Mogosoaia,Apartment,2015-02-20 03:50:24,961.46,,,False,True,False,False,,yes,yes
Toplita,Luxury Apartment,2015-01-12 16:03:49,1205.43,16.98,71,,False,True,,yes,yes,yes
Mogosoaia,Apartment,2015-05-25 13:56:51,522.92,,,,,False,True,,no,
Targu Frumos,Luxury Apartment,2017-09-24 22:47:54,4085.27,104.75,39,,True,True,False,,no,
Dabuleni,Luxury Apartment,2017-06-04 09:52:12,1944.69,54.02,36,,False,,True,,,
Harlau,Apartment,2015-11-22 17:21:14,618.7,,,False,,False,True,no,yes,
